#{"t_start": 1768816883.760797, "env_id": null}
r,l,t
2618.0,866,9919.561728
1448.0,656,9925.102843
1314.0,619,9927.251191
1395.0,663,10274.053756
3313.0,1268,10277.35986
952.0,527,10277.444918
1349.0,648,10282.041313
2341.0,921,10283.999769
3326.0,1099,10290.7685
1364.0,594,10291.22058
2554.0,888,10292.938018
3520.0,1377,10294.34304
1454.0,659,10298.948139
1918.0,842,10642.756677
1461.0,679,10643.926887
2459.0,898,10651.696693
1699.0,721,10653.343913
2585.0,1041,10656.372998
1385.0,598,10659.419765
1997.0,802,11011.21885
2474.0,795,11014.266412
1723.0,2934,11016.305031
2161.0,731,11021.830249
2266.0,826,11026.047487
2248.0,826,11028.070784
2356.0,889,11034.593127
879.0,2832,11036.858789
1849.0,737,11038.82852
3409.0,1206,11391.200423
1570.0,637,11393.492036
2259.0,837,11393.816391
1852.0,679,11396.987218
2371.0,979,11404.962282
1695.0,847,11405.47585
3232.0,959,11407.245024
2977.0,930,11410.219909
1457.0,597,11413.861435
1634.0,594,11414.346172
1790.0,616,11416.490891
2215.0,765,11767.968052
1578.0,662,11770.223667
1853.0,638,11772.395373
2724.0,832,11772.832943
966.0,451,11773.678867
1368.0,670,11778.72911
2157.0,697,11781.689708
2584.0,851,11783.221229
1486.0,789,11783.735057
1884.0,620,11786.640814
1793.0,594,11789.273114
1910.0,700,12133.971172
1449.0,662,12136.966942
3320.0,1006,12138.509988
1354.0,551,12141.144598
2855.0,846,12142.044846
2773.0,813,12147.46214
2000.0,699,12147.499158
2360.0,802,12151.496358
2935.0,925,12153.991977
1338.0,614,12155.440529
1842.0,718,12156.835902
901.0,491,12502.26834
2648.0,779,12504.601188
1513.0,690,12506.275403
3221.0,904,12514.614968
2221.0,704,12515.973009
2502.0,888,12516.766654
2292.0,754,12524.348414
2051.0,699,12524.992466
2888.0,983,12870.454867
1371.0,581,12874.312413
1953.0,730,12876.869687
3501.0,3238,12876.933025
1346.0,498,12883.264255
2112.0,763,12884.092719
3112.0,994,12884.617603
2385.0,1025,12891.475833
1457.0,605,12893.220777
2313.0,767,12894.443232
1966.0,732,12895.355032
1366.0,547,13239.642722
2037.0,832,13241.556054
1373.0,609,13242.635772
2401.0,998,13246.729378
1455.0,634,13249.721277
2489.0,926,13251.601384
2226.0,745,13256.365623
2367.0,1215,13258.312499
2624.0,919,13603.745862
1716.0,642,13604.960754
1957.0,687,13608.899195
1366.0,599,13612.870526
1838.0,614,13614.192793
1753.0,693,13617.707879
1951.0,716,13623.37671
2031.0,645,13623.802753
1913.0,761,13628.782011
2127.0,2932,13630.381387
1764.0,648,13632.01671
2759.0,776,13973.264623
2478.0,823,13979.33133
2576.0,872,13981.651086
2397.0,842,13982.915206
3300.0,955,13985.609894
2154.0,754,13989.865255
1431.0,581,13991.19546
2653.0,866,13993.571335
1861.0,631,13994.476437
2066.0,718,14342.739195
2368.0,903,14343.799966
1453.0,615,14343.799966
2349.0,871,14347.998116
1738.0,598,14350.384824
1946.0,724,14353.023225
1679.0,563,14355.181918
1913.0,648,14358.676918
2899.0,1163,14358.676918
2593.0,831,14363.653158
1348.0,588,14366.365938
2711.0,1122,14709.901008
